Date,PFE,UTX,DIS,V,BA,PG,JNJ,KO,UNH,MCD,WMT,NKE,MSFT,HD,AAPL,MMM,CSCO,VZ,IBM,MRK,GE,TRV,INTC,GS,AXP,JPM,DD,XOM,CAT,CVX,^DJI
2015-09-29,29.351271,84.645779,97.32427,67.76175500000001,122.720047,68.811612,89.23014,37.786527,111.369447,93.143852,61.016707,58.802574,41.743688,109.404004,105.77299599999999,136.07068700000002,24.160836,40.202847,134.898349,46.389155,23.460943,96.176239,27.908913000000002,168.212379,70.84254200000001,57.064237,45.916928999999996,69.238323,60.57101899999999,71.4351,16049.129883000001
2015-09-30,29.720290000000002,85.617497,100.045668,68.87909300000001,124.817008,68.48793,89.52744399999999,38.224796000000005,113.114775,94.147141,62.03078000000001,60.42410600000001,42.531667,111.90388600000001,106.975629,136.282172,24.735646,40.184375,137.265485,47.094764,24.081602,96.23425,28.767941999999998,170.072046,71.84073199999999,58.14182099999999,46.5936,70.547748,61.559975,73.899023,16284.700195
2015-10-01,30.127158,85.011375,100.505762,69.205387,124.492935,68.497445,89.354814,37.919913,113.699799,94.38602,61.485476,60.846687,42.868002000000004,113.396068,106.277328,135.349719,24.441174,39.676414,135.958822,47.075693,24.052958,95.083652,28.634316,172.284089,71.60814599999999,58.570944,46.738599,70.272577,60.64637,73.393121,16272.009766
2015-10-02,31.300454,86.367936,100.828807,69.877765,126.351605,68.94489300000001,90.083696,38.482042,115.864397,95.351095,62.16472099999999,61.52478000000001,43.790514,114.151847,107.05321200000002,137.656811,24.469672,39.565587,136.896213,47.809911,24.320318,96.71769300000001,29.121098999999997,173.253067,72.112092,58.407662,47.61827,71.999502,61.880204000000006,76.400428,16472.369141
2015-10-05,31.678934,88.763576,101.660888,71.420282,127.743233,69.706508,90.87971,39.072753999999996,116.663932,96.66970699999999,63.016161,61.062888,44.809123,115.49868500000001,107.441158,140.656047,25.505074,40.636924,141.119175,48.849257,25.609381,98.487098,29.789232000000002,176.864752,74.91284300000001,59.569858999999994,49.570948,72.881943,65.157881,78.723821,16776.429688
2015-10-06,31.026054,89.042587,101.582573,71.271962,128.32466399999998,69.877871,89.594577,39.025116,113.153778,97.367238,62.83439,60.532208,44.924436,114.99483500000001,107.955183,140.14655,25.866039,40.69234,140.872998,47.485711,26.058167,97.723256,30.295106,176.492827,74.534887,59.598673,53.369969999999995,73.906713,66.70253100000001,81.496907,16790.189453
2015-10-07,31.499156,89.966204,101.21058599999999,72.399181,130.602729,70.18251500000001,91.09070200000001,39.558664,113.52429099999999,97.243016,63.484929,59.99661,44.972482,115.934716,107.441158,141.828808,26.160512,41.024460999999995,142.113375,48.58227,26.5165,98.786831,30.848703000000004,178.362277,75.079643,59.675514,53.53430600000001,75.14971800000001,66.28811,82.55555600000001,16912.289062
2015-10-08,31.309914000000003,90.755128,102.40486999999999,73.071559,132.52811200000002,70.829885,91.18660600000001,39.996934,113.18302800000001,98.370527,63.982397,61.37736999999999,45.597102,117.30093000000001,106.19973700000001,143.693714,26.511978000000003,41.379976,144.18698899999998,48.649017,26.764764000000003,99.676365,31.039599,177.226909,75.079643,59.675514,54.259311,75.937273,67.663225,84.23252600000001,17050.75
2015-10-09,31.451846999999997,91.75571500000001,103.334841,73.150664,133.157205,70.906048,91.464732,40.035045000000004,116.293411,98.188983,63.800633999999995,61.392111,45.270378,117.56255,108.740775,144.097455,26.511978000000003,41.314487,144.291143,48.58227,26.802958,99.531338,30.676896000000003,175.386806,75.225562,59.483415,54.307643000000006,75.206654,67.154627,83.91399200000001,17084.490234
2015-10-12,31.432921999999998,91.813439,104.108189,74.149336,134.091303,70.763244,92.05933900000001,40.015989000000005,119.452556,98.647628,64.030234,62.124255000000005,45.164673,118.114851,108.236443,144.251265,26.559471999999996,41.445465000000006,143.107575,48.353421000000004,26.822055,100.285508,30.743709000000003,176.404726,75.206102,59.281712,53.804974,75.24461,66.401136,83.136401,17131.859375
